"sys_timestamp","sys_guid","sys_dtcreated","sys_exported","sys_dtexported","codigo","descripcion","pmensual","tipo","sys_recver"
"2025-10-15 10:15:36","ffc1020aa9da11f08b087ced8d22c890","2025-10-15 10:15:36",0,"2025-10-15 10:15:36","RCC","RETIRO DE EFECTIVO AL CORTE DE CAJA","0","2","0"
"2025-10-15 10:15:36","ea647990a9db11f08b087ced8d22c890","2025-10-15 10:15:36",0,"2025-10-15 10:15:36","RCO","RETIRO DE OTRAS FORMAS DE PAGO","0","2","0"
"2025-10-15 10:15:36","f0f4eb83a9db11f08b087ced8d22c890","2025-10-15 10:15:36",0,"2025-10-15 10:15:36","DAC","DIFERENCIA DE EFECTIVO AL CORTE","0","2","0"
